Bahasa Ambon,English
kasowari,"n. 1. The cassowary, a large, flightless bird of the genus Casuarius. 2. A tree of the genus Casuarina."
kasta,n. social group. Kasta itu pung parlente saja! = The way those people lie!
kastarool,n. a medicinal plant.
kastau,"v. 1. tell, inform. 2. taddle. 3. taddle on. Nanti beta kastau dia. = I will taddle on him."
kasten,adj. bouncy. Beta pung bola lebe kasten dari se pung. = My ball is bouncier than yours.
kasti,n. the Ambonese form of baseball.
kastidor,vt. put to sleep. Mama ada kastidor Ade. = Mama is putting Ade to sleep.
kastunju,v. show. Also unju.
kasturi,"n. A talking parrot, Psittaciformes. cf. urep."
kasturi ekor panjang,n. A long-tailed talking parrot.
kasturung,vt. lower. Kasturung tangang suda. = Go ahead and lower your arm.
kata,n. word. sbr. 1. that. Ontua bilang kata Feri jatu. = He said that Feri fell. 2. intending. Ontua kata mao pinda ruma. = He is intending to move to another house. adv. even. Kata sa panggal jua seeng. = Not even one piece.
kataam,"n. sticky rice, coconut, and brown sugar dish eaten for breakfast."
kataang,n. 1. crab. 2. pliers.
katageang,n. addiction. v. be addicted.
katanggisang,v. talk in one's sleep.
katapang,"n. A tree, the Indian almond tree, Terminaliacatappa."
kate-kate,n. A hook for dragging in sharks (Asilulu).
kater,n. bed (Asilulu).
katia,n. armpit.
katidorang,v. fall unexpectedly asleep. cf. tatidor.
katimbur,"n. cucumber, Cucumis spp (Asilulu)."
katimong,n. cucumber.
katong,"prn. we, us."
katoon,adj. cotton (fabric). cf. kapas.
katorang,see katoong.
katrool,"n. exercise device consisting of a weight, a rope, and a pully."
katsasi,vi. undergo Christian catechism. vt. catechize.
katumbar,"n. corriander, a kind of spice, Eringium foetidum."
katupa,n. 1. woven coconut-leaf package containing rice boiled in coconut milk. 2. (figuratively) fist.
kaus kaki,n. sock.
kawa,n. wire.
kawa nyanyau,"n. wire trace, or leader, attached to fishhook."
kawa raam,n. chicken wire.
kawa waja,n. steel wire. adj. stingy. Also skakar. cf. kawaja.
kawaja,adj. stingy. Also kawa waja.
kaweng,v. 1. wed. 2. copulate.
kaya,"adj. rich, wealthy. Ant kasiang, misking."
kayu,n. 1. wood. 2. tree. 3. bolt (40 yards cloth measurement).
kayu baru,"n. A yellow flowering shore tree with large round leaves, the beachhibiscus, Hibiscus tiliaceus."
kayu besi,"n. A tree, the ironwood, Intsiabijuga."
kayu bua,n. pole.
kayu haleki,n. A tree.
kayu kanari,n. see pohong kanari.
kayu kinar,n. A tree.
kayu kuku,n. A tree.
kayu kulor,n. A tree.
kayu lasi,"n. a tree, Semecarpus Forstenii Bl.."
kayu lenggua,"n. a tree, the Amboina wood tree."
kayu lenggua mera,n. the harder and more expensive kind of Amboina wood.
kayu lenggua puti,"n. a tree, the softer kind of Amboina wood."
kayu manis,n. cinammon.
kayu maroong,n. A tree.
kayu marsegu,n. A tree.
kayu nani,n. A tree.
kayu nani aer,n. A tree.
kayu pantoong,n. club.
kayu pilang,n. club.
kayu putih,"n. The cayeput tree, Melaleuca leucadendron."
kayu samama,n. A tree.
kayu siri popar,n. a kind of fig tree.
kayu sukung utang,n. A tree.
kayu titi,n. a cultivated tree the wood of which is used to build dugout canoes.
kayu tongke,n. A tree. cf. pohong mangi-mangi.
kecap,n. soy sauce
kecap manis,n. sweet soy sauce.
keer,vt. examine in order to ascertain some problem. Oto ada maso keer = The car is in for a check up.
kees,n. monkey.
keju,n. cheese. Also kaas.
keker,"n. telescope, binoculars, microscope. v. view through a scope."
keku,v. carry on the head. Kataang keku rumpu! = Crab carrying grass on its head! (nickname for a phase of gici-gici).
kelder,n. see peti kelder.
kele,vt. carry.
keok,v. (rude) die.
kepeng,n. money. Also uang.
kerko,n. cemetary. Also kuburang.
kerong-kerong,adj. zebra-striped.
keti,adj. superabundant.
kets,"vi. bounce, ricochet. adj. tennis, as in ""tennis shoe."""
kewang,n. 1. forest ranger. 2. a village official responsible for collecting fees and tolls.
kewel,v. brag.
kikir,n. file (the tool). Also limar. cf. daong kikir.
kilat,n. lightning. cf. guntur.
kilo,n. 1. kilogram. 2. kilometer.
kiming kalapa,n. spathe of coconut inflorescence.
kinar,n. see kayu kinar.
kincing,v. urinate. Also piis.
kintal,n. yard surrounding a residence.
kio,"adv. Word appearing at the end of sentences that coax for agreement. Seng apa-apa, kio. That's okay, right?"
kira,"v. think, suppose."
kising,"adj. bald. Also botak, gundul."
klaar,"n. finished, ready."
klep,n. engine valve.
ko-kohu,n. a dish made from minced raw fish and a souring agent.
koco,v. shuffle (a deck of cards).
kodak,n. camera.
kode,"n. 1. code, signal. 2. a batch of 20 (sarongs). cf. kodi."
kodi,n. a score of (sarongs in a package for resale).
kodo,n. frog.
koe,prn. (rude singular) you.
koe,see koi.
kofi,n. coffee. Also kopi.
kofor,n. suitcase.
kohu-kohu,see ko-kohu.
koi,"n. 1. traditional Moluccan bed. 2. nut. Koi kanari, Canarium nut. --Roy Sekewael"
kokaho,see kokahu.
kokahu,"v. attract fish by mincing bait, mixing it with sand, and throwing it into the water."
kolak,n. fruit compote cooked in coconut milk.
kolang,n. hole in the ground.
kolang susu,"n. A flowering tree, the frangipani, Plumeria obtusa."
kole-kole,"n. Butonese dugout canoe, generally having no outriggers. also lepa-lepa."
koli,"(Tepa dialect), see sopi."
kolong,n. region below. Di kolong meja. = Under the table.
komanji,"n. A spice, the sweet basil, Ocimum basilicum. Also komange."
kombali,v. return.
kombili,n. a kind of edible tubor.
kompaas,n. directional compass.
kompader,n. best man or witness at a wedding.
kompanii,n. Dutch East India Company military.
kompres,n. compress for a boil or a wound.
komu,see ikang komu.
kona,v. Be in season and abundant.
konci,n. 1. lock. 2. key. 3. wrench. 4. close. Konci kabaktiang = close of worship service. v. lock. Jang lupa konci pintu. = Don't forget to lock the door. cf. sloot.
konci pas,n. open-end wrench.
konci reng,n. box wrench.
konci sook,n. socket wrench.
Konci Taong,n. New Year's Eve.
konco,n. close friend.
konde,n. 1. bun of hair. 2. highest part of the stem and stern of a canoe.
kondua,prn. the two of us.
kong,"adv. then. Nanti kong katong lia. = We will then see. Kong dia bagaimana? = Then what about him? Kong apa? = Then what? seq. then. Dia dudu kong dia tatawa. = He sat down, then he laughed."
kontak,n. contact.
konto,n. fart. v. fart.
konto-konto,n. a weed having malodorous (fart odor) leaves.
konyado,"n. brother in law. Also nyado, nyadu, konyadu."
konyadu,see konyado.
konyol,v. die a foolish death. Also mati konyol.
kool,"n. cabbage, Brassica oleracea."
koop,v. 1. master. Dia su koop akang samua di kapala. = He has mastered it all (and knows it all) in his head. 2. use a suction bottle on the skin.
koop telefon,n. headphones.
koor,n. 1. choral group. 2. the chorus of a song.
koor-kaar-koor-kaar,v. sound like a rat running through storage containers.
kopeng,v. bounce (a soccer ball) off the head.
kopi,n. see kofi.
kopleng,n. mechanical coupling.
kopraal,n. corporal in the military.
koprol,v. summersault.
kopu-kopu,n. butterfly.
kora-kora,"n. A kind of very large gondola-like boat, used for punitive and piratical expeditions."
koran,n. newspaper.
kore,v. 1. touch or remove using an elongate tool. 2. touch (someone) lightly with the tip of a curling finger to get attention.
korma,n. date (palm fruit from Arabia).
korsleteng,n. & v. short circuit.
kosong,adj. empty. Ant pono.
kosteng,see skosteng.
kota,n. city.
kotika,n. point in time.
kous,n. 1. sock. 2. incandescent mantle for a pressurized kerosene lantern.
Koyabu,n. A kind of sweetmeat.
kraam,see karaam.
kramat,see karamat.
kreel,n. curl. v. curl.
krees,n. cross.
krees-krees,adj. crisscrossed.
krepek,see karepek.
kroon,see karoong.
kua,n. broth.
kuali,"n. wok. Also tacu, wajang."
kuat,adj. strong.
kubik,n. cubic meter. adj. cubic.
kubor,n. grave.
kubur,see kubor.
kuburang,n. 1. grave. 2. cemetary. cf. kerko.
kuca,v. wash by moving cloth back and forth against itself or against a stone.
kucai,n. A plant.
kucing,"n. house cat. cf. puus, tusa."
kuda,v. carry on the back.
kuda bima,n. A large species of horse.
kue,"n. cake, sweetmeat. Also kukis."
kue pastel,n. curry puff.
kue pau,n. Chinese dumpling.
kui,see kue.
kuini,"n. A fruit tree related to the mango, Mangifera odorata. Also bacang."
kukis,"n. cake, sweetmeat. Also kue."
kukis pisang,n. banana fritter.
kukis sarutu,n. A cigar-shaped biscuit made from sago meal.
kukis saruut,see kukis sarutu.
kukis tarang bulang,n. a sweet pancake sold on the streets of Ambon.
kukis tarompong,"n. a kind of Chinese sweet wafer, very thin, rolled up, and dried crisp."
kuku,"n. fingernail, toenail, talon, claw. v. knock down (fruit from a tree) by poking with a pole."
kukur,vt. grate coconut using a kukurang.
kukurang,n. coconut grater made of a steel scraper affixed to a heavy block of wood.
kukuruku,n. sound of crowing. v. crow (like a rooster).
kukusang,n. 1. rattan cone used for steaming. 2. any conical shape.
kuli,n. 1. skin. 2. rind. 3. bark. 4. shell. 5. surface. 6. coolie.
kuli aer,n. the surface of the water.
kuli bia,n. sea shell.
kumang,n. hermit crab.
kumbang,"n. A tree bearing fragrant yellow flowers, the ylang-ylang, Canangium odoratum."
kumis,n. moustache.
kumis kucing,"n. A medicinal plant, Orthosiphon spicatus."
kumor,"v. rinse the mouth. PAN umuR, hold in the mouth"
kumpol,v. 1. gather. 2. kindle. Kumpol api = kindle fire.
kumpul,see kumpol.
kumur,n. The palm-leaf midrib of a mature sago leaf. v. see kumor.
kunang-kunang,n. firefly. adj. dizzy.
kunci,see konci.
kunci stori,n. church business office.
kuning,"n. turmeric, Curcuma longa. adj. yellow."
kuningang,n. brass. cf. tambaga.
kupa haji,"n. A flower, the Poinciana pulcherrima."
kupang,"n. 1. (archaic) money. 2. a kind of flower, esp. decorative or non-indigenous. 3. a kind of decorative shrub."
kupis,vi. to strike a glancing blow (as of marbles in a game of marbles)(?)
kura,v. bleach (wet clothes) by sunning.
kurang,adj. insufficient.
kurangajar,"adj. vulgar, uncouth, obscene."
kurap,n. ringworm (skin disease).
kurrrrr,"itj. sound made when calling chickens to their feeding. PAN kur, word used to call chickens, etc. PAN kuru, word used to call chickens, etc."
kursi,n. chair.
kurus,"adj. thin, lean. PAN kuru, thin, lean."
kusu,n. phalanger (a kind of marsupial).
kusu potar,n. a large species of phalanger.
kusu-kusu,n. 1. a kind of grass (cf. rumpu kusu-kusu). 2. an area covered by this kind of grass. Also alang-alang.
kutang,n. a woman's slip.
kuti,"vt. 1. flick with the finger. 2. pluck, (a guitar string)."
kutikata,"n. A tree with grape-like clusters of sweet, edible fruit, the Chinese laurel, Antidesma bunius."
kutu,n. external parasite on an animal body.
kutu babi,"n. A blood-sucking tick, Acari."
kutu busu,"n. The bedbug, Cimex spp."
kutu kaluyu,"n. The remora, a marine fish of the family Echeneidae, the parasite fish attached to sharks."
kutu taloor,"n. nit, louse egg."
kwaliteit,n. quality.
kwartu,n. a tax levied by the Dutch
kwitansi,n. receipt.
la,adv. so. La se ada biking apa? = So what are you doing?
la,seq. and. Dia badiri la dia bajalang. = He stood up and he walked.
la-ang,"adj. old, worn out(?)"
laap,n. rag.
laas,n. v. weld.
laat,"adj. late, tardy. Also talaat."
laba-laba,n. see lawa-lawa.
labee,"adj. more. Os labee dar aros! = You are too much! PAN labeR, wide. PAN labe9, abundance, surplus."
labor,"vt. spread (a sticky substance). cf. balabor. PAN labuR, mix foods."
labraak,v. strike hard.
labrang,n. see tali labrang.
labu,"n. squash, Cucurbitaceae."
labu cina,"n. A melon-like squash, the bottle-gourd, Lagenaria siceraria."
labu siam,"n. A squash, the chayote, Sechium edule."
labuhang,n. anchorage.
lading,n. a kind of sea/beach worm
ladong,n. weighted harpoon dropped on a rope from a canoe to spear sea turtles. cf. najong.
lae,"adv. 1. also, too. Beta lae! = Me too! 2. anymore. Dia su seng datang-datang lae. = He doesn't come around anymore. 3. By this or that time. Itu lae dia su seng tau apa-apa. = By that time he was unconscious. Polisi datang lae Markus su seng ada. = By the time the police arrived, Markus was no longer there. 4. more. Ambel lae - take more. itj. more."
laeng,"adj. 1. other. 2. different. 3. incongruous, abnormal."
laeng-laeng,adv. very strangely.
laepose,"n. fresh, forward (especially if showing an inordinate interest in the opposite sex). cf. ondos."
laga,n. male prowess. Satu-satu mau tunju laga. = Each one (of them) wanted to show off his male prowess.
lagu,"n. song, esp. non-traditional."
lai,see lae.
laipose,adj. overly bold or fresh with the opposite sex.
laki,n. husband. Ant. bini.
laki piara,n. common law husband.
laki-laki,n. man.
laksa,"n. 1. A kind of translucent, fine rice noodles. 2. ten thousand."
lakuase,"n. A ginger-like spice, the greater galangal, Languas galanga."
lakuase mera,n. A galangal yielding reddish spice.
lala-hati,adj. frustrated.
lalaa,adj. tired.
lalar,n. fly.
lalar biru,n. a blue fly.
lalar itang,"n. A large, black forest fly."
lale,"n. (emotional) heart, seat of feelings. v. waste opportunity or time."
lama,"v. be a long time. adj. 1. long in time. 2. old, previous. Ruma lama = previous home."
lama-lama,vi. delay. Dia lama-lama apa itu? = What is his delay?
lamamar,adj. 1. having soaked up brine after floating for a long time in salt water. 2. having been transported by birds. Kanari lamamar = kanari nut found far from the tree on which it grew because it has been transported by a bird. n. a kind of tree.
lamari,see kaas.
lambong,adj. (nautical) from the beam. Anging lambong - a wind from off the beam.
lameet,n. A kind of sweetmeat.
lampiong,n. Chinese lantern.
lampu,n. lamp.
lamutang,"n. drifting clump of seaweed. PAN lamun, swamp grass."
lancang,"adj. cheeky, saucy, impudent."
landeng,n. military shore landing. adj. of the type used in such assaults. cf. motor landeng.
langgar,"v. pass by, pass in front of. prp. beyond. Tinggi langgar bulang = higher than the moon."
langi-langi mulu,n. roof of mouth.
langit,n. sky.
langkaang,n. The rail of a porch.
langkuas,see lakuase.
langsa,see pohong lansa.
langsa,see pohong lansa.
langsang,"adj. slow, as the speed of a conveyance."
lantarang,sbr. because.
lante,"n. 1. floor, especially one made of bamboo. 2. split, flattened bamboo used as a building material."
lao,n. 1. sea. 2. place located seaward from here. Dia ada di lao. = He is down there (at a place more seaward from here). Bajalang ka lao. = Walk seaward. Ant dara. cf. lautang.
lapaas,"v. release. prp. after, past. Lapaas Tanjong Alang . = Out past Tanjong Alang ."
lapis,n. layer. v. place a layer of something under or around.
lapisang,n. layer.
lapor,v. report.
laporang,n. report.
lasi,n. see kayu lasi.
lasoong,"n. iron pounding mortar. cf. cobe, alu-alu."
lasu,vt. masturbate. syn loco. cf. talasu.
lautang,n. ocean. cf. lao.
lawa-lawa,n. spider. Also laba-laba.
lawang,"adv. very, awfully. Sayang lawang = awfully sad."
lawangka,n. crowbar. cf. linggis.
laxe-laxe,adj. outrageous. --Roy Sekewael
laxor,n. edible marine worm.
layan,vi. charge (a battery).
layang-layang,n. kite. Mari katoong kasnae layang-layang! = Let's go fly kites!
layar,n. sail.
lebae,sbr. It would be better if.
ledeng,n. pipeline.
lehen,v. lie low on one's belly or crawl forward on the ground during a fire fight.
leher,"n. neck, throat."
lein,n. ornamental line running lengthwise along the hull of a canoe.
lela,n. ancient cannon (Asilulu).
lema,n. a fish.
lemong,n. any kind of citrus fruit or tree.
lemong cina,"n. A high quality citrus, about one inch in diameter, used for cooking."
lemong makang,"n. The pomelo, Citrus grandis."
lemong manis,"n. The tangerine, Citrusnobilis."
lemong nipis,n. lemon.
lemong wangi,n. A fragrant kind of citrus used by ladies for hair fragrance.
lempeng,n. bar. Sagu lempeng = baked bar of sago bread.
lena,v. to walk a good distance along the seacoast (Asilulu).
lender,n. spittle.
lenggua,see linggua.
lengso,see lenso.
lenso,"n. hand kerchief. Also lengso, sapu tangang."
lepa-lepa,see kole-kole.
leparissa,n. the teong name of Oma Village.
lepesteep,n. lipstick.
lesa,n. table made from woven areng palm leaf midribs (Asilulu).
letnan,n. lieutenant.
letu,"n. cut off, trim away. Letu jaga-jaga kayu. = Trim away the branches of a tree."
lia,v. 1. look. 2. see.
liang,n. cave.
licing,"adj. 1. slick, slippery. 2. (slang) Completely gone, finished. Mangga su licing. = The mangoes are all gone."
lidi,n. coconut palm leaf midrib.
liling,n. 1. candle. 2. wax.
lima,see ikang lema.
limar,"n. file, rasp. Also kikir."
lingggua gaba-gaba,n. A tree.
linggis,n. crowbar. cf. lawangka.
linggua,"n. A tree, Pterocarpus indicus Wild."
linggua batu,n. A tree.
lior,adj. of the mouth. Aer lior = spittle.
lipa,vt. 1. fold. 2. (slang) attack and overcome.
lipatang,n. fold.
lirang,n. piece (of thatch). Also bangkawang.
lirang,n. seam (of a sarong) (Asilulu).
liur,see lior.
lobang,n. hole.
lobang idong,n. nostril.
lobang panta,n. anus.
lobang puki,n. vagina.
lobang talingang,n. ear hole.
lobe,n. torch of dried coconut leaves. v. 1. shine light upon. Lobe akang deng senter. = Shine a flashlight on it. 2. image (something) in a mirror. cf. balobe.
lobi-lobi,see tomi-tomi.
loco,v. masturbate. Syn. lasu.
loga-loga,"adj. loose, coming loose."
loja,adj. flaccid.
loki,n. A fish.
loko,"n. grab, handful (numerical coefficient for handfuls). v. capture, catch, grab."
lola,n. see bia lola.
loleba,n. see bulu loleba.
loleng,"v. be idle, loaf."
lolosi,see ikang lolosi.
lomba-lomba,see ikang lomba-lomba.
lombar,n. 1. palm branch. 2. protective layer or sheet.
lombar salak,n. membrane protecting salak fruit.
lombo,adj. 1. soft. 2. exhausted after strong exertion.
lompa,see ikang lompa.
lonceng,"n. 1. bell. 2. timepiece, either worn on one's person or mounted somewhere. cf. arloji."
lonceng gareja,n. church bell. Also genta.
loncong tangang,n. wrist watch.
lontar,n. a kind of palm tree. vt. hurl stones at.
lonte,adj. sexually loose or incontinent.
loos,v. release. Loos tali dolo. = Please release the ropes. adj. loose. Akang su loos. - It has loosened.
loot,n. lead weight. Mangail pake loot. = Fish using lead weight. v. shoot at.
lopal,n. the dry spathe of areca flower stalks (Asilulu).
loreng,"adj. camouflage. Baju loreng, Camouflage shirt."
lorong,n. lane.
loteng,n. ceiling.
loto,n. lottery.
loyer,n. diaper.
lucu,v. 1. slip off. Lucu calana = slip off pants. 2. slide. Lucu akang kamari. = Slide it over here. adj. funny.
luda,"v. spit, spit on."
lumu-lumu,n. 1. moss. 2. seaweed.
lurung,see lorong.
lusa,"n. and adv. day after tomorrow. cf. beso, tula."
luti-luti,"n. measles. PAN buti', smallpox; swine disease"
luti-luti aer,"aer, n. a disease"
lutu,n. knee.
luur,v. 1. peep. 2. spy on.
maas,n. gold.
mabo,n. drunk.
mabo lau,a. seasick.
mace,n. Mother (familiar form of address for a woman).
madu,n. honey.
mae-mae,n. insect. Also mai-mai.
mae-mae cuka,n. a gigantic species of beetle.
mae-mae ujang,termite swarming in big rain.
maeng mata,v. flirt.
mahange,n. pole running under the wall and doorway of a building.
mahangi,see mahange.
mai,n. (pejorative) mother. Ose pung mai = Your mother. This word is not used in address. Ant. pai.
mai,n. mother. adj. female. Ayang mai = hen. Ant. pai.
mai tua,n. wife.
mai-mai,see mae-mae.
maiare,"v. philander, go about in search of lovers. adj. philandering. Laki-laki mayare = philandering male. cf. pardidu."
makang,v. eat.
makang hati,v. be frustrated.
makang puji,v. become conceited after being praised.
makarau,v. be eclipsed.
make,see ikang make.
maki,v. verbally abuse.
malakaat,v. stick fast.
malamong,v. daydream.
malang,n. 1. night. 2. eve. Malang minggu = Saturday night.
malang konci taong,n. New Year's Eve.
malang panjang,n. all-night event.
malang-malang,adv. at night.
malapoo,"adj. & vi. blister, blistering."
malayang,v. 1. fly away in the wind. 2. soar. Burung talang malayang di atas. = A talang bird was soaring overhead.
Malayu,n. Ambon Malay.
malele,"vi. 1. melt. 2. (of a fluid) run, trickle."
malengkang,"sbr. 1. as if. Malengkang se ada pii sana. = As if YOU had been there (disbelievingly). 2. only if. Beta kasi malengkang se ciong beta bole. = I will give it to you, but only if you kiss me. 3. if indeed. Beta makang malengkang ada makanang. = For me to have eaten there would have to have been food."
maleo,"n. The maleo, a mound bird (megapode), family Megapodiidae."
malesi,adj. recklessly brave.
maliong,n. million.
malulu,v. be exclusively. Orang Barat malulu. = There were nothing but Westerners.
mama,n. mother. Ant bapa. v. chew.
mama bongso,n. mother's younger sister.
mama gigi,v. grit the teeth.
mama hati,itj. dear me!
mama mantu,n. mother-in-law.
mama piara,n. foster mother.
mama tiri,n. stepmother.
mama tua,n. mother's older sister.
mamboro,adj. be heavy with drowsiness (of the eyelids).
mami,n. mother. Ant. papi.
mampus,"vi. (crude) die. PAN mampus, gone, used up."
mana,adv. (interrogative) where?
mana-mana,n. 1. everywhere. 2. adv. whatever. Mana-mana saja = whatever (I don't care).
manahang,v. endure. Manahang lapar = endure hunger.
manara,"n. appurtenances, tools, gear, raw materials."
manara parau,"n. The gear and rigging of a boat, everything used on the boat, but not its hull."
manara ruma,n. The raw materials for building a house.
manara tukang,n. Craftsman's tools.
mancado,n. axe.
mancadu,see mancado.
mancari,"v. 1. make a living. 2. trade, barter."
Mandak,n. Monday.
mandarat,"v. Make a military landing, esp. in war time."
mandera,see bandera.
mandi,v. bathe.
mandidi,v. boil.
mandor,n. foreman
mangado,"v. make something a legal-issue, bring up (a legal issue)."
mangadu,see mangado.
mangael,v. 1. fish. 2. fish for. Hei! Os mangail apa itu? = Hey there! What are you fishing for?
mangail,see mangael.
mangajaang,vi. groan.
mangaji,v. recite the Qur'an. learn how to recite the Qur'an.
mangako,"v. 1. confess. 2. agree to, promise to. Mangako pii ka seeng? = Will you promise to go or not?"
mangaku,see mangako.
mangamo,v. 1. growl. 2. burst forth in anger
mangandong,v. be or become pregnant. Meri su mangandong! = Meri is pregnant! cf. bunting.
manganga,v. stare.
mangantaa,v. throb (as a boil).
mangapa,v. be or do what. Dia mangapa itu? = What is he doing? or what's wrong with him? etc.
mangarti,v. 1. understand. 2. be arrogant. adj. arrogant.
mangayo,vi. go head hunting.
mangente,see manginte.
mangga,n. mango.
mangga aromanis,n. A mango.
mangga bacang,n. A mango.
mangga bubor,n. a mango.
mangga daging,"n. A large mango, Mangifera spp"
mangga gole,n. A mango.
mangga pau,n. A mango.
manggaraang,v. 1. incubate. Ayang ada manggaraang. = The hen is incubating. 2. (figurative) stay too long. Jang manggaraang di orang pung rumah. = Don't stay to long in other people's houses.
manggaroong,v. snore
manggis,n. see manggustang.
manggurebe,"manggurebe, v. 1. race. Dong dua manggurebe. - The two of them raced. 2. race for. Dong mangurebe ikang. = They raced for the fish. vi. race or run a race. vt. 1. race for. Ana-ana ada manggurebe bunga gula. = The children are racing for (to pick up) pieces of candy. 2. race (something). Dong ada mangurebe parau di lao. = They are racing canoes out there at sea."
manggustang,"manggis, see pohong manggustang."
mangi-mangi,n. 1. The mangrove tree (see pohong mangi-mangi). 2. A mangrove swamp.
mangidang,v. long for as would a pregnant woman for some exotic or special food.
manginte,v. 1. look after. 2. look in upon.
mangkaal,adj. unripe.
mangkali,"adv. perhaps, maybe."
mangko,"n. cup, small bowl."
mangkola,v. burp.
manguap,"vi. yawn. PAN ma-huab, to yawn, yawning."
mani-mani,n. bead.
maniit,n. minute.
manikang,see malengkang.
manisang,n. confection.
manisang pala,n. nutmeg rind boiled in syrup.
maniso,v. 1. move about too much. 2. be overly busy. 3. be a busybody.
manja,v. spoil (a child).
manjaliing,"v. cast a sideways glance, look at out of the corner of one's eye."
manjong,"n. A shrub with trumpet-shaped flowers, the downy thorn apple, Datura metel, the dried leaves of which are smoked to treat asthma."
manomata,n. upper part of gable at end of roofridge.
manta,"adj. raw, uncooked."
manta-manta,adv. without reservation or adulteration. Parlente manta-manta = lie blatantly.
mantega,"n. butter, margarine."
mantri,n. government-sponsored medical practitioner.
mantu,n. in-law (not of the same generation).
manumpang,vi. 1. join other people aboard a vehicle. 2. Spend the night. 3. parasitize. adj. parasitic. Tali manumpang = parasitic vine.
manuntut,"adj. ornery, demanding."
manyanyi,v. sing.
manyanyi hela,"v. sing slowly, drag out a song."
manyimpang,"v. tidy up, put in good order, arrange properly."
mar,sbr. but.
maraju,see maraju.
maraju,"v. pout, sulk."
maraya,"v. creep, crawl."
mariam bulu,n. bamboo cannon used for recreational purposes.
marinyo,n. village crier. cf. tabaos.
maronta,v. squirm violently in order to get free.
maroong,see kayu maroong.
marsegu,"n. 1. A large fruit bat (flying fox, genus Pteropus). 2. A tree (see kayu marsegu)."
martelu,n. hammer
masa,n. period in time. v. cook. adj. 1. cooked. Sayor masa = cooked vegetables. 2. ripe. Pisang masa = ripe banana. Bisol masa = a boil ready to burst.
masa bodo,v. be ignorant.
masiin,n. 1. machine. 2. engine. 3. sewing machine.
masin kaki,n. treadle sewing machine.
masin listrik,n. electrical generator.
masin tangang,n. hand-cranked sewing machine.
masing,"adj. salty. air masing, salt water, the sea."
masiqi,n. mosque.
maski,sbr. even though.
maski apa lai mar,sbr. no matter what.
maski bagitu mar,sbr. nevertheless.
masnait,n. crew member. cf. ana bua.
maso,v. enter.
maso minta,vt. call upon a woman's parents in order to ask her hand in marriage. Dong ada maso minta parampuang. = They are asking for the hand of a woman in marriage.
masohi,v. work on a community project in exchange for cooked food.
mata,n. 1. eye. 2. source.
mata air,n. (water) spring.
mata hari,see matahari.
mata ikang,n. a kind of infection.
mata juling,adj. cross-eyed.
mata manyala,adj. having wide-open eyes.
mata mera,"n. A small, black bird having red eyes that roosts in flocks in large trees."
mata ruma,n. family lineage.
mata skeel,adj. cross-eyed.
matahari,n. sun.
matahari maso,n. sunset.
matahari miring,n. and adj. time when the sun has begun to descend.
matahari nae,n. 1. sunrise. 2. east.
matahari turun,n. 1. sunset. 2. west.
matakael,n. fishhook.
matakail,see matakael.
matakau,n. fetish constructed to cause injury to persons taking forbidden or privately owned products by magical means.
matawana,"v. remain awake. Also bagadang, tahang mata."
mati,v. die. adj. dead. itj. you die!
mati harus,v. be determined.
mati konyol,v. die a foolish death.
mati sabala,adj. paralized on one side.
mati-mati aer,adj. at a certain stage in the curing of concrete.
mati-mati ayang,n. epilepsy.
matroos,n. sailor in the navy
mau,"n. desire, expressed wish. v. want to."
mau-mau,n. whim. adj. whimsical.
mawali,"adj. 1. Tough, as of food that was once crisp but has become tough by exposure to dampness. 2. tough, (of wood) not easy to split because of interlocking grains."
maweng,n. official village shaman.
maxinap,adv. without much forethought? Maxinap pi kaweng (Oma).
maxopu,adj. be dry-rotted or insect eaten. --Roy Sekewael
mayang,n. The sugar palm (see pohong mayang). adj. ripe.
mayare,see maiare.
mayat,"n. corpse, dead body of a human being. cf. bangke."
mayoor,n. The rank of major.
medi,v. throw a marble at a ring of marbles to try to knock one out.
meja,n. table.
mek,"prn. This slang word entered the language from English in the 1950s from a film character named Mac. It is now used at the ends of various sentences, for example: Bagaimana mek? = How is it going? Hebat mek! = awesome! Etc. v. take aim."
melek,n. spoiled (of raw fish). cf. basi.
memang,"adv. of-course, naturally."
meme,n. (vulgar) mother.
mengong,adj. stupid.
mens,"v. menstruate. Also saki mens, saki bulang."
mesel,see metsel.
mesu,adj. fail to come to term. --Oma.
metal,n. engine crankshaft bearing.
meti,"n. area exposed at low tide. adj. low, of the tide. PAN qeti, ebb tide; coral reefs and sandbanks exposed at low tide. n. 1. drying reef. 2. low tide. adj. low (of the tide)."
meti kei,adj. 1. exceptionally low (of the tide). 2. out of money or food supplies.
metsel,n. cement work. v. trowel (cement). Also mesel.
mi,n. 1. Chinese noodles. 2. noodles in general.
mihuun,n. a smaller kind of Chinese noodle that tastes different from mi.
miir,n. cement wall.
mika,n. 1. plastic. 2. monofilament nylon fishing line. cf. tasi.
mili,n. millimeter.
mina,adv. completely? Ancor mina = Completely disintegrated. --Roy Sekewael
Minggu,n. .1 Sunday 2. A week.
minta,"v. 1. ask for, request. 2. propose to (a woman)."
minta ampong,vi. beg mercy.
minya,n. oil.
minya bensin,n. gasoline.
minya diesel,n. diesel fuel.
minya gardang,n. gear oil.
minya kalapa,n. coconut oil.
minya kayu puti,n. cayeput oil.
minya masiin,n. sewing machine oil.
minya oli,n. lubricating oil.
